ASM_ACCESSION,NCBI_TAXID,SPECIES_IN,STRAIN,PHYLUM,SUBPHYLUM,CLASS,SUBCLASS,ORDER,FAMILY,GENUS,SPECIES
GCA_003316355.1_ASM331635v1,1894963,Tuber calosporum,MG102,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber calosporum
GCA_006112555.1_ASM611255v1,55307,Tuber indicum,tin1,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber indicum
GCA_003182015.1_ASM318201v1,42249,Tuber magnatum,091103-1,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber magnatum
GCF_000151645.1_ASM15164v1,39416,Tuber melanosporum,Mel28,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber melanosporum
GCA_003521225.1_ASM352122v1,1455713,Tuber microsphaerosporum,MG111,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber microsphaerosporum
GCA_050495735.1_Tpan_genome,1263265,Tuber panzhihuanense,TPZIS012023,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber panzhihuanense
GCA_003313605.1_ASM331360v1,691171,Tuber umbilicatum,MG104,Ascomycota,,Pezizomycetes,,Pezizales,Tuberaceae,Tuber,Tuber umbilicatum
GCA_975972555.1_XD_vamb_bin3231_ASM_v1,3049356,Tubeufia hainanensis,,Ascomycota,,Dothideomycetes,,Tubeufiales,Tubeufiaceae,Tubeufia,Tubeufia hainanensis
GCA_038094275.1_BD806-Tubosaeta-sp1,353651,Tubosaeta brunneosetosa,UT-M0000422,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tubosaeta,Tubosaeta brunneosetosa
GCA_004000155.1_ASM400015v1,291195,Tubulinosema ratisbonensis,Franzen,Microsporidia,,,,,Tubulinosematidae,Tubulinosema,Tubulinosema ratisbonensis
GCA_964255215.1_public_SRR14722026_metabat2_bin.4,404712,Tuckermannopsis ciliaris,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Tuckermannopsis,Tuckermannopsis ciliaris
GCA_000827465.1_Tulasnella_calospora_AL13_4D_v1.0,1051891,Tulasnella calospora MUT 4182,MUT 4182,Basidiomycota,,Agaricomycetes,,Cantharellales,Tulasnellaceae,Tulasnella,Tulasnella calospora
GCA_045529615.1_TL_TL_CBS100284,1576472,Tumenectria laetidisca,CBS 100284,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Tumenectria,Tumenectria laetidisca
GCA_038090535.1_NY1034447-Tylopilus-alboater,80672,Tylopilus alboater,NY1034447,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus alboater
GCA_038089995.1_NY2685946-Tylopilus-balloui,1278228,Tylopilus balloui,NY2685946,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus balloui
GCA_038094635.1_BD616-Boletus-cervinococcineus,3095524,Tylopilus cervinicoccineus,KM206840,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus cervinicoccineus
GCA_054948845.1_ASM5494884v1,98230,Tylopilus felleus,Maridalen,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus felleus
GCA_038091255.1_MICH12344-Tylopilus-intermedius,925757,Tylopilus intermedius,MICH12344,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus intermedius
GCA_038093755.1_DLT08-089-Tylopilus-microsporus,1487346,Tylopilus microsporus,TRTC157164,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus microsporus
GCA_038089095.1_TH8106-Tylopilus-orsonianus,1495899,Tylopilus orsonianus,G4413,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus orsonianus
GCA_003316375.1_ASM331637v1,374766,Tylopilus plumbeoviolaceoides,MG33,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus plumbeoviolaceoides
GCA_038091235.1_MICH12346-Tylopilus-rubrobrunneus,388871,Tylopilus rubrobrunneus,MICH12346,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus rubrobrunneus
GCA_038091275.1_MICH12347-Tylopilus-subfusipes,3095525,Tylopilus subfusipes,MICH12347,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus subfusipes
GCA_038089215.1_TH10094-Tylopilus-vinaceipallidus,1495898,Tylopilus vinaceipallidus,G4406,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Tylopilus,Tylopilus vinaceipallidus
GCA_026745395.1_ASM2674539v1,714525,Tympanopsis confertula,IRGN 4ROQFWI7QX,Ascomycota,,Sordariomycetes,,Coronophorales,Scortechiniaceae,Tympanopsis,Tympanopsis confertula
GCA_039545415.1_JCM_5269_assembly_v001,42659,Udeniomyces megalosporus,JCM 5269,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Udeniomyces,Udeniomyces megalosporus
GCA_039545295.1_JCM_2958_assembly_v001,42661,Udeniomyces pyricola,JCM 2958,Basidiomycota,,Tremellomycetes,,Cystofilobasidiales,Mrakiaceae,Udeniomyces,Udeniomyces pyricola
GCA_016758905.1_ASM1675890v1,91625,Umbelopsis isabellina,WA0000067209,Mucoromycota,,Umbelopsidomycetes,,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis isabellina
GCA_054906655.1_Umbelopsis_nana_v._1.0,64526,Umbelopsis nana,NBRC 117090,Mucoromycota,,Umbelopsidomycetes,,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis nana
GCF_025399195.1_Umbra1,1314678,Umbelopsis ramanniana AG,AG,Mucoromycota,,Umbelopsidomycetes,,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis ramanniana
GCA_977110975.1_gzUmbVina2.embl.gz,44442,Umbelopsis vinacea,,Mucoromycota,,Umbelopsidomycetes,,Umbelopsidales,Umbelopsidaceae,Umbelopsis,Umbelopsis vinacea
GCA_964255515.1_private_X16_concoct_bin.2,87271,Umbilicaria americana,,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria americana
GCA_053478185.1_ASM5347818v1,87273,Umbilicaria crustulosa,5601,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria crustulosa
GCA_964340765.1_glUmbDeus1.1,87276,Umbilicaria deusta,,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria deusta
GCA_053478125.1_ASM5347812v1,1980225,Umbilicaria freyi,4614,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria freyi
GCA_023184595.1_ASM2318459v1,903552,Umbilicaria grisea,TBG_2336,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria grisea
GCA_053478025.1_ASM5347802v1,580046,Umbilicaria hispanica,5201,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria hispanica
GCA_053477965.1_ASM5347796v1,619691,Umbilicaria iberica,6321,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria iberica
GCA_964255095.1_public_SRR14722058_metabat2_bin.4,161685,Umbilicaria mammulata,,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria mammulata
GCA_000611775.1_Umbmu1.0,2738368,Umbilicaria muhlenbergii,KoLRI No. LF000956,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria muhlenbergii
GCA_053477945.1_ASM5347794v1,87281,Umbilicaria nylanderiana,7002,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria nylanderiana
GCA_023184695.1_ASM2318469v1,1217316,Umbilicaria phaea,TBG_1112,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria phaea
GCA_053477845.1_ASM5347784v1,136372,Umbilicaria polyphylla,6902,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria polyphylla
GCA_053477705.1_ASM5347770v1,87284,Umbilicaria spodochroa,5109,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria spodochroa
GCA_023184615.1_ASM2318461v1,2498835,Umbilicaria subpolyphylla,TBG_2324,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria subpolyphylla
GCA_023645895.1_KEW_Uvel,87287,Umbilicaria vellea,LIQ84UMVE,Ascomycota,,Lecanoromycetes,,Umbilicariales,Umbilicariaceae,Umbilicaria,Umbilicaria vellea
GCF_000003515.1_ASM351v2,336963,Uncinocarpus reesii 1704,1704,Ascomycota,,Eurotiomycetes,,Onygenales,Onygenaceae,Uncinocarpus,Uncinocarpus reesii
GCA_002994555.1_CA11,462795,Uromyces transversalis,CA11,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Uromyces,Uromyces transversalis
GCA_000785685.1_ASM78568v1,55588,Uromyces viciae-fabae,I2,Basidiomycota,,Pucciniomycetes,,Pucciniales,Pucciniaceae,Uromyces,Uromyces viciae-fabae
GCA_964256655.1_public_SRR13125762_concoct_bin.37,350624,Usnea aurantiacoatra,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea aurantiacoatra
GCA_964255125.1_private_X2_concoct_bin.0,1844838,Usnea cavernosa,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea cavernosa
GCA_964256075.1_public_SRR13685164_concoct_bin.7,142670,Usnea ceratina,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea ceratina
GCA_964256645.1_public_SRR13685165_metabat2_bin.3,264804,Usnea cornuta,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea cornuta
GCA_052784015.1_Usnflo1,111620,Usnea florida,ATCC 18376,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea florida
GCA_013423325.1_Uhk_1.0,362614,Usnea hakonensis,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea hakonensis
GCA_964255035.1_public_SRR14722115_concoct_bin.3,2086299,Usnea halei,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea halei
GCA_964255025.1_public_SRR14722120_metabat2_bin.1,143884,Usnea merrillii,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea merrillii
GCA_964257655.1_public_SRR14721947_metabat2_bin.6,143885,Usnea mutabilis,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea mutabilis
GCA_964254745.1_public_SRR14722094_metabat2_bin.10,86621,Usnea strigosa,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea strigosa
GCA_964256035.1_public_SRR13685162_metabat2_bin.2,2233981,Usnea subfusca,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea subfusca
GCA_964255225.1_public_SRR14722022_concoct_bin.14,2250278,Usnea subgracilis,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea subgracilis
GCA_964254585.1_public_SRR14722116_metabat2_bin.14,1181319,Usnea subscabrosa,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnea,Usnea subscabrosa
GCA_964254695.1_public_SRR14722151_metabat2_bin.3,112447,Usnocetraria oakesiana,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Usnocetraria,Usnocetraria oakesiana
GCA_023645975.1_KEW_Ucar,1301586,Usnochroma carphineum,LIQ69CCAR,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Usnochroma,Usnochroma carphineum
GCA_928724795.1_UMa706_2,1134041,Ustanciosporium gigantosporum,UMa706,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Cintractiaceae,Ustanciosporium,Ustanciosporium gigantosporum
GCA_038381055.1_ASM3838105v1,906972,Ustilaginoidea albicans,UA25,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Ustilaginoidea,Ustilaginoidea albicans
GCF_000687475.1_ASM68747v2,1159556,Ustilaginoidea virens,UV-8b,Ascomycota,,Sordariomycetes,,Hypocreales,Clavicipitaceae,Ustilaginoidea,Ustilaginoidea virens
GCA_900080155.1_UBRO_v3,307758,Ustilago bromivora,UB2112,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago bromivora
GCA_024271935.1_ASM2427193v1,249486,Ustilago crameri,Uc7,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago crameri
GCA_928722295.1_BRIP_26929_a,882926,Ustilago curta,BRIP 26929 a,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago curta
GCA_928865425.1_NBRC_9727,63396,Ustilago cynodontis,NBRC 9727,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago cynodontis
GCA_020827535.1_ASM2082753v1,185366,Ustilago esculenta,YD3,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago esculenta
GCF_900519145.1_Uho2_v1,120017,Ustilago hordei,Uho2,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago hordei
GCA_928869825.1_BRIP_46795_a,361812,Ustilago lituana,BRIP 46795 a,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago lituana
GCA_022963135.1_ASM2296313v1,2031085,Ustilago loliicola,Us_530,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago loliicola
GCA_022963125.1_ASM2296312v1,86802,Ustilago nuda,DE_29490,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago nuda
GCA_019972555.1_PSHX_1.0,327080,Ustilago shanxiensis,CBS 10075,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago shanxiensis
GCA_900323505.1_U_tricho_v1,86804,Ustilago trichophora,NBRC100155,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago trichophora
GCA_022963115.1_ASM2296311v1,117174,Ustilago tritici,Ut_3,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago tritici
GCA_928722275.1_RK075,249491,Ustilago vetiveriae,RK 075,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago vetiveriae
GCA_928856705.1_BRIP_60876_a,249492,Ustilago xerochloae,BRIP 60876 a,Basidiomycota,,Ustilaginomycetes,,Ustilaginales,Ustilaginaceae,Ustilago,Ustilago xerochloae
GCA_023159155.1_Kredeu1,110526,Ustulina deusta,IL1129,Ascomycota,,Sordariomycetes,,Xylariales,Xylariaceae,Ustulina,Ustulina deusta
GCA_000447185.1_NapisBRLv01,1037528,Vairimorpha apis BRL 01,BRL 01,Microsporidia,,,,,Nosematidae,Vairimorpha,Vairimorpha apis
GCA_036780745.1_ASM3678074v1,40135,Vairimorpha bombi,VR1,Microsporidia,,,,,Nosematidae,Vairimorpha,Vairimorpha bombi
GCF_000988165.1_ASM98816v1,40302,Vairimorpha ceranae,PA08 1199,Microsporidia,,,,,Nosematidae,Vairimorpha,Vairimorpha ceranae
GCF_036630325.1_ASM3663032v1,6039,Vairimorpha necatrix,Illinois isolate,Microsporidia,,,,,Nosematidae,Vairimorpha,Vairimorpha necatrix
GCA_054601055.1_ASM5460105v1,3469102,Vanderwaltozyma osmotolerans,AH1110,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma osmotolerans
GCF_000150035.1_ASM15003v1,436907,Vanderwaltozyma polyspora DSM 70294,DSM 70294,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma polyspora
GCA_030555675.1_ASM3055567v1,907290,Vanderwaltozyma tropicalis,NRRL Y-63776,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma tropicalis
GCA_030565105.1_ASM3056510v1,907289,Vanderwaltozyma verrucispora,NRRL Y-63795T,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma verrucispora
GCA_030568135.1_ASM3056813v1,51620,Vanderwaltozyma yarrowii,NRRL Y-17763,Ascomycota,,Saccharomycetes,,Saccharomycetales,Saccharomycetaceae,Vanderwaltozyma,Vanderwaltozyma yarrowii
GCF_041260175.1_TUD_VanAlb_v1.0,181172,Vanrija albida,AlHP1,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija albida
GCA_008065275.1_ASM806527v1,5417,Vanrija humicola,CBS 4282,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija humicola
GCF_020906515.1_ASM2090651v1,143232,Vanrija pseudolonga,DUCC4014,Basidiomycota,,Tremellomycetes,,Trichosporonales,Trichosporonaceae,Vanrija,Vanrija pseudolonga
GCA_022160365.1_Varmin1,1314806,Vararia minispora EC-137,EC-137,Basidiomycota,,Agaricomycetes,,Russulales,Lachnocladiaceae,Vararia,Vararia minispora
GCA_022813925.1_ASM2281392v1,160984,Varicellaria rhodocarpa,T1912,Ascomycota,,Lecanoromycetes,,Pertusariales,Pertusariaceae,Varicellaria,Varicellaria rhodocarpa
GCA_023645955.1_KEW_Vaur,1301589,Variospora aurantia,LIQ74CAUR,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Variospora,Variospora aurantia
GCA_051941765.1_KEW_Vafu,3058865,Variospora fuerteventurae,LIQ242VAFU,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Variospora,Variospora fuerteventurae
GCA_051941705.1_KEW_Vave,1301595,Variospora velana,LIQ163CAVE,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Variospora,Variospora velana
GCF_000192795.1_Vavr_culi_floridensis_V1,948595,Vavraia culicis subsp. floridensis,floridensis,Microsporidia,,,,,Pleistophoridae,Vavraia,Vavraia culicis
GCA_038088635.1_VeloBol-ISO,2800115,Veloboletus limbatus,NY1393645,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Veloboletus,Veloboletus limbatus
GCA_038089715.1_NY796126-Veloporphyrellus-conicus,1382505,Veloporphyrellus conicus,NY796126,Basidiomycota,,Agaricomycetes,,Boletales,Boletaceae,Veloporphyrellus,Veloporphyrellus conicus
GCA_003689335.1_ASM368933v1,86256,Venturia asperata,2349,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia asperata
GCA_003693225.1_ASM369322v1,470485,Venturia aucupariae,2371,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia aucupariae
GCA_014858625.1_ASM1485862v1,86257,Venturia carpophila,ZJHZ1-1-1,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia carpophila
GCA_007735645.1_ASM773564v1,50376,Venturia effusa,albino,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia effusa
GCA_003689225.1_ASM368922v1,5025,Venturia inaequalis,EU-B04,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia inaequalis
GCA_004522665.1_ASM452266v1,86259,Venturia nashicola,MAFF615029,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia nashicola
GCA_013176395.1_ASM1317639v1,1898124,Venturia oleaginea,Yun35,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia oleaginea
GCA_000738655.1_ASM73865v1,1437871,Venturia pyrina ICMP 11032,ICMP 11032,Ascomycota,,Dothideomycetes,,Venturiales,Venturiaceae,Venturia,Venturia pyrina
GCF_003357145.1_ASM335714v1,2656787,Venustampulla echinocandica,BP 5553,Ascomycota,,Leotiomycetes,,Helotiales,Pleuroascaceae,Venustampulla,Venustampulla echinocandica
GCA_033675295.1_ASM3367529v1,1690605,Vermiconidia calcicola,CCFEE 5714,Ascomycota,,Dothideomycetes,,Mycosphaerellales,Extremaceae,Vermiconidia,Vermiconidia calcicola
GCA_033030345.1_ASM3303034v1,44609,Verpa bohemica,No. 21108,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Verpa,Verpa bohemica
GCA_033030425.1_ASM3303042v1,44608,Verpa conica,No. 21110,Ascomycota,,Pezizomycetes,,Pezizales,Morchellaceae,Verpa,Verpa conica
GCF_000836295.1_O_gall_CBS43764,253628,Verruconis gallopava,CBS 43764,Ascomycota,,Dothideomycetes,,Venturiales,Sympoventuriaceae,Verruconis,Verruconis gallopava
GCA_049907295.1_ASM4990729v1,27335,Verticillium albo-atrum,DSM 12231,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium albo-atrum
GCF_000150825.1_ASM15082v1,526221,Verticillium alfalfae VaMs.102,VaMs.102,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium alfalfae
GCF_000150675.1_ASM15067v2,498257,Verticillium dahliae VdLs.17,VdLs.17,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium dahliae
GCA_002851775.1_ASM285177v1,1051614,Verticillium isaacii,PD618,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium isaacii
GCA_002851715.1_ASM285171v1,1051615,Verticillium klebahnii,PD401,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium klebahnii
GCA_019188255.1_ASM1918825v1,100787,Verticillium longisporum,PD589,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium longisporum
GCF_003724135.2_ASM372413v2,1051616,Verticillium nonalfalfae,VnAa140/NRRL 66861,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium nonalfalfae
GCA_050230855.1_ASM5023085v1,132580,Verticillium nubilum,397,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium nubilum
GCA_000732205.1_ASM73220v1,1425883,Verticillium tricorpus MUCL 9792,MUCL 9792,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium tricorpus
GCA_054999315.1_ASM5499931v1,1051617,Verticillium zaregamsianum,IPP1199,Ascomycota,,Sordariomycetes,,Glomerellales,Plectosphaerellaceae,Verticillium,Verticillium zaregamsianum
GCA_026025075.1_ASM2602507v1,2939408,Vezdaea acicularis,Spribille s.n. 12.09.2020/TS-e1946,Ascomycota,,,,Vezdaeales,Vezdaeaceae,Vezdaea,Vezdaea acicularis
GCA_026055935.1_ASM2605593v1,2939405,Vezdaea aestivalis,Spribille 44784/TS-e1932,Ascomycota,,,,Vezdaeales,Vezdaeaceae,Vezdaea,Vezdaea aestivalis
GCA_051941605.1_KEW_Tami,2797858,Villophora microphyllina,LIQ184CAMI,Ascomycota,,Lecanoromycetes,,Teloschistales,Teloschistaceae,Villophora,Villophora microphyllina
GCA_003144235.1_Ustsp1,1673888,Violaceomyces palustris,SA 807,Basidiomycota,,Ustilaginomycetes,,Violaceomycetales,Violaceomycetaceae,Violaceomyces,Violaceomyces palustris
GCA_010094025.1_Tryvi1,1048519,Viridothelium virens,Tuck. ex Michener,Ascomycota,,Dothideomycetes,,Trypetheliales,Trypetheliaceae,Viridothelium,Viridothelium virens
GCA_052935135.1_ASM5293513v1,89920,Vishniacozyma dimennae,blapla,Basidiomycota,,Tremellomycetes,,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma dimennae
GCA_017654735.1_ASM1765473v1,1895944,Vishniacozyma victoriae,T18_1_22C,Basidiomycota,,Tremellomycetes,,Tremellales,Bulleribasidiaceae,Vishniacozyma,Vishniacozyma victoriae
GCF_000231115.1_Vitt_corn_V1,993615,Vittaforma corneae ATCC 50505,ATCC 50505,Microsporidia,,,,,Nosematidae,Vittaforma,Vittaforma corneae
GCA_034401135.1_ASM3440113v1,1053262,Volutella citrinella,GUCC2219,Ascomycota,,Sordariomycetes,,Hypocreales,Nectriaceae,Volutella,Volutella citrinella
GCA_951802395.1_gfVolSurr1.1,908347,Volvariella surrecta,,Basidiomycota,,Agaricomycetes,,Agaricales,Pluteaceae,Volvariella,Volvariella surrecta
GCA_000349905.1_VVO,706473,Volvariella volvacea V23,V23,Basidiomycota,,Agaricomycetes,,Agaricales,Pluteaceae,Volvariella,Volvariella volvacea
GCA_964255425.1_private_VT2_concoct_bin.17,87264,Vulpicida juniperinus,,Ascomycota,,Lecanoromycetes,,Lecanorales,Parmeliaceae,Vulpicida,Vulpicida juniperinus
GCA_037855215.1_ASM3785521v1,49569,Waitea zeae,S2346,Basidiomycota,,Agaricomycetes,,Corticiales,Corticiaceae,Waitea,Waitea zeae
GCA_038090475.1_NY1193852-Wakefieldia-striaesporta,3095618,Wakefieldia striispora,NY1193852,Basidiomycota,,Agaricomycetes,,Agaricales,Hymenogastraceae,Wakefieldia,Wakefieldia striispora
GCA_056320075.1_ASM5632007v1,1708542,Wallemia canadensis,EXF-10342,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia canadensis
GCA_004918325.1_ASM491832v1,1540922,Wallemia hederae,EXF-5753,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia hederae
GCF_000400465.1_Wallemia_ichthyophaga_version_1.0,1299270,Wallemia ichthyophaga EXF-994,EXF-994,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia ichthyophaga
GCF_000263375.1_Wallemia_sebi_v1.0,671144,Wallemia mellicola CBS 633.66,CBS 633.66,Basidiomycota,,Wallemiomycetes,,Wallemiales,Wallemiaceae,Wallemia,Wallemia mellicola
GCA_022814615.1_ASM2281461v1,1472694,Waltergamsia citrina,FKII-L8-BK-P5,Ascomycota,,Sordariomycetes,,Hypocreales,Bionectriaceae,Waltergamsia,Waltergamsia citrina
GCA_026025055.1_ASM2602505v1,2796175,Watsoniomyces obsoletus,Powell 4724/TS-e1886,Ascomycota,,Lichinomycetes,,Lichinales,Porocyphaceae,Watsoniomyces,Watsoniomyces obsoletus
GCA_030412805.1_NNIBR_Waur_1.0,1193015,Westerdykella aurantiaca,NNIBRFG27121,Ascomycota,,Dothideomycetes,,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella aurantiaca
GCA_040333465.2_ASM4033346v2,45154,Westerdykella dispersa,F012,Ascomycota,,Dothideomycetes,,Pleosporales,Sporormiaceae,Westerdykella,Westerdykella dispersa
